issue_url,issue_created_at,issue_closed_at,open_duration_days
https://github.com/flutter/flutter/issues/17275,2018-05-04 01:43:57,2024-08-13 03:03:02,2293
https://github.com/flutter/flutter/issues/33807,2019-06-03 23:08:33,2024-08-13 03:24:00,1897
https://github.com/flutter/flutter/issues/40283,2019-09-11 21:20:23,2024-08-13 03:30:58,1797
https://github.com/flutter/flutter/issues/50070,2020-02-04 00:45:55,2024-08-13 03:35:00,1652
https://github.com/flutter/flutter/issues/52512,2020-03-12 23:20:27,2024-08-13 03:36:20,1614
https://github.com/flutter/flutter/issues/52510,2020-03-12 23:16:21,2024-08-13 03:36:55,1614
https://github.com/flutter/flutter/issues/58440,2020-06-01 21:15:28,2024-08-13 03:42:58,1533
https://github.com/flutter/flutter/issues/62222,2020-07-24 19:34:29,2024-08-13 03:44:15,1480
https://github.com/flutter/flutter/issues/5433,2016-08-16 19:57:20,2024-08-13 02:42:46,2918
https://github.com/flutter/flutter/issues/13775,2017-12-27 15:53:27,2024-08-13 02:48:12,2420
https://github.com/flutter/flutter/issues/15779,2018-03-21 07:38:32,2024-08-13 03:00:19,2336
https://github.com/flutter/flutter/issues/61976,2020-07-21 20:21:49,2024-08-09 16:55:47,1479
https://github.com/flutter/flutter/issues/59031,2020-06-08 23:58:11,2024-08-09 16:57:56,1522
https://github.com/flutter/flutter/issues/59894,2020-06-19 22:48:47,2024-08-09 16:58:39,1511
https://github.com/flutter/flutter/issues/24843,2018-11-29 05:37:18,2024-08-08 16:09:19,2079
https://github.com/flutter/flutter/issues/58363,2020-05-31 11:04:52,2024-08-08 19:11:23,1530
https://github.com/flutter/flutter/issues/86202,2021-07-09 21:25:43,2024-08-08 19:34:19,1125
https://github.com/flutter/flutter/issues/50567,2020-02-11 15:16:54,2024-08-08 16:09:20,1640
https://github.com/flutter/flutter/issues/70438,2020-11-13 06:30:15,2024-08-08 08:03:37,1364
https://github.com/flutter/flutter/issues/71612,2020-12-02 22:56:37,2024-08-08 08:05:05,1344
https://github.com/flutter/flutter/issues/72321,2020-12-15 01:32:36,2024-08-08 08:10:45,1332
https://github.com/flutter/flutter/issues/72261,2020-12-14 07:54:50,2024-08-08 08:11:04,1333
https://github.com/flutter/flutter/issues/76729,2021-02-24 21:21:27,2024-08-08 08:22:33,1260
https://github.com/flutter/flutter/issues/80396,2021-04-14 00:27:52,2024-08-08 08:37:10,1212
https://github.com/flutter/flutter/issues/83127,2021-05-21 20:55:06,2024-08-08 08:43:52,1174
https://github.com/flutter/flutter/issues/87112,2021-07-27 15:02:38,2024-08-08 08:55:49,1107
https://github.com/flutter/flutter/issues/56405,2020-05-05 21:45:36,2024-08-08 07:23:22,1555
https://github.com/flutter/flutter/issues/59904,2020-06-20 00:13:06,2024-08-08 07:34:31,1510
https://github.com/flutter/flutter/issues/67315,2020-10-05 16:26:31,2024-08-08 07:56:15,1402
https://github.com/flutter/flutter/issues/67573,2020-10-07 22:33:24,2024-08-08 07:57:09,1400
https://github.com/flutter/flutter/issues/43582,2019-10-27 00:31:57,2024-08-06 17:53:05,1745
https://github.com/flutter/flutter/issues/127362,2021-04-15 08:38:40,2024-08-05 22:23:17,1208
https://github.com/flutter/flutter/issues/72821,2020-12-22 18:51:18,2024-08-01 11:17:21,1317
https://github.com/flutter/flutter/issues/66007,2020-09-17 09:25:17,2024-07-31 19:58:06,1413
https://github.com/flutter/flutter/issues/61334,2020-07-13 01:19:45,2024-07-31 19:56:18,1479
https://github.com/flutter/flutter/issues/53262,2020-03-25 15:13:51,2024-07-31 18:19:57,1589
https://github.com/flutter/flutter/issues/65145,2020-09-03 02:44:19,2024-07-30 20:30:22,1426
https://github.com/flutter/flutter/issues/64739,2020-08-27 18:30:58,2024-07-30 20:30:22,1433
